代码,名称,流通A股(万股),总股本(万股)
sz002805,丰元股份,2422.9,9691.38
sz002806,华锋股份,3400,13600
sz002807,江阴银行,20944.55,176735.4347
sz002808,苏州恒久,4800,19200
sz002809,红墙股份,3000,12000
sz002810,山东赫达,2398,9556
sz002811,亚泰国际,4500,18000
sz002812,创新股份,3348,13645
sz002813,路畅科技,3000,12000
sz002815,崇达技术,5000,41000
sz002816,和科达,2500,10000
sz002817,黄山胶囊,2167,8667
sz002818,富森美,4400,44000
sz002819,东方中科,2834,11334
sz002820,桂发祥,3200,12800
sz002821,凯莱英,4572.7,23011.0706
sz002822,中装建设,15000,60000
sz002823,凯中精密,7142.6772,29032.9987
sz002824,和胜股份,4500,18000
sz002825,纳尔股份,2500,10031
sz002826,易明医药,4743,18972
sz002827,高争民爆,4600,18400
sz002828,贝肯能源,2930,11720
sz002829,星网宇达,3800,16018
sz002830,名雕股份,3334,13334
sz002831,裕同科技,4001,40001
sz002832,比音勒芬,2667,10667
sz002833,弘亚数控,3336,13522.5
sz002835,同为股份,5400,21600
sz002836,新宏泽,4000,16000
sz002837,英维克,4923.549,20209.1992
sz002838,道恩股份,3150,12600
sz002839,张家港行,18076,180752.6665
sz002840,华统股份,4466.67,17866.67
sz002841,视源股份,4050,40631.25
sz002842,翔鹭钨业,2500,10000
sz002843,泰嘉股份,3500,14000
sz002845,同兴达,2400,9600
sz002846,英联股份,3000,12000
sz002847,盐津铺子,3100,12400
sz002848,高斯贝尔,4180,16715
sz002849,威星智能,2166.67,8666.67
sz002850,科达利,3500,14000
sz002851,麦格米特,4450,17772.5147
sz002852,道道全,2500,10000
sz002853,皮阿诺,1560,6213.66
sz002855,捷荣技术,6000,24000
sz002856,美芝股份,2534,10134
sz002857,三晖电气,2000,8000
sz002858,力盛赛车,1580,6316
sz002859,洁美科技,2328,10228
sz002860,星帅尔,1520,7597.868
sz002861,瀛通通讯,3068,12269.84
sz002862,实丰文化,2000,8000
sz002863,今飞凯达,5550,22150
sz002865,钧达股份,3000,12000
sz002866,传艺科技,3590.67,14362.67
sz002867,周大生,7685,47785
sz002868,绿康生化,3000,12000
sz002869,金溢科技,2952,11780
sz002870,香山股份,2767,11067
sz002871,伟隆股份,1700,6800
sz002872,天圣制药,5300,21200
sz002873,新天药业,1722,6888
sz002875,安奈儿,2500,10000
sz002876,三利谱,2000,8000
sz002877,智能自控,3056,12224
sz002878,元隆雅图,1884,7536
sz002881,美格智能,2667,10667
sz002883,中设股份,1333.35,5333.35
sz002885,京泉华,2000,8000
sz002886,沃特股份,1960.8,7843.15
sz300001,特锐德,92924.4042,99757.0075
sz300002,神州泰岳,193954.7016,196109.1984
sz300003,乐普医疗,156910.6177,178165.2921
sz300004,南风股份,44515.4288,50921.8928
sz300005,探路者,89129.3904,89129.3904
sz300006,莱美药业,72645.7526,81224.1205
sz300007,汉威科技,28080.4832,29302.2806
sz300008,天海防务,66891.6685,96001.6185
sz300009,安科生物,66862.5119,71188.158
sz300010,立思辰,60658.8209,87261.0697
sz300011,鼎汉技术,48093.0982,53105.1461
sz300012,华测检测,150817.1236,167456.0542
sz300013,新宁物流,23511.1385,29779.141
sz300014,亿纬锂能,85243.8956,85598.5593
sz300015,爱尔眼科,149775.9892,152072.1764
sz300016,北陆药业,30661.3408,32599.3251
sz300017,网宿科技,216640.909,240969.6921
sz300018,中元股份,42203.707,48711.6536
sz300019,硅宝科技,32640,33090.1951
sz300020,银江股份,62796.2354,65578.9086
sz300021,大禹节水,79736.0687,79736.0687
sz300022,吉峰农机,35858.9043,38024.038
sz300023,宝德股份,22500,31610.6775
sz300024,机器人,156023.9617,156023.9617
sz300025,华星创业,42853.0562,42853.0562
sz300026,红日药业,281258.1321,301105.4793
sz300027,华谊兄弟,248302.3715,277450.5919
sz300028,金亚科技,34398,34398
sz300029,天龙光电,20000,20000
sz300030,阳普医疗,30524.5741,30879.5815
sz300031,宝通科技,32939.7354,39676.7886
sz300032,金龙机电,62161.223,80316.9608
sz300033,同花顺,49617.0396,53760
sz300034,钢研高纳,42178.6943,42178.6943
sz300035,中科电气,46770.75,51800.6058
sz300036,超图软件,39012.2056,44957.8967
sz300037,新宙邦,34918.8408,37843.5368
sz300038,梅泰诺,18312.6646,31731.9212
sz300039,上海凯宝,107149.38,107149.38
sz300040,九洲电气,30440.313,34618.7204
sz300041,回天新材,33790.984,40078.438
sz300042,朗科科技,13360,13360
sz300043,星辉娱乐,119767.1442,124419.8401
sz300044,赛为智能,33506.775,40039.7211
sz300045,华力创通,54705.2,57619.1387
sz300046,台基股份,14208,14208
sz300047,天源迪科,34661.3428,35773.3482
sz300048,合康新能,100342.7014,110220.1357
sz300049,福瑞股份,25219.526,26305.31
sz300050,世纪鼎利,46276.5679,49891.4466
sz300051,三五互联,34901.0347,36968.559
sz300052,中青宝,26103.86,26103.86
sz300053,欧比特,53880.5972,62318.011
sz300054,鼎龙股份,87106.8433,96112.4002
sz300055,万邦达,82561.4908,86518.4815
sz300056,三维丝,29952,38549.0443
sz300057,万顺股份,43966.4781,43966.4781
sz300058,蓝色光标,178303.8235,214220.6139
sz300059,东方财富,428877.9718,428877.9718
sz300061,康旗股份,24975.4661,52608.9653
sz300062,中能电气,30800,30800
sz300063,天龙集团,52536.7193,72642.695
sz300064,豫金刚石,60800,120547.6595
sz300065,海兰信,31575.891,36234.0972
sz300066,三川智慧,99816.0762,104003.3262
sz300067,安诺其,63618.5008,65322.9808
sz300068,南都电源,61295.7858,78795.7858
sz300069,金利华电,11700,11700
sz300070,碧水源,309968.0468,313368.6772
sz300071,华谊嘉信,58821.3254,67849.1488
sz300072,三聚环保,147401.6951,180440.843
sz300073,当升科技,32848.1162,36606.804
